1 0:636505.062500 1:907183.500000 2:1400473.125000 3:1770113.000000 4:1403834.125000 5:1727005.000000 6:2180288.000000 7:1929262.875000 1 0:707481.812500 1:1007239.812500 2:1554286.000000 3:1964131.250000 4:1554299.000000 5:1911429.875000 6:2413607.000000 7:2132551.500000 1 0:661291.187500 1:941045.250000 2:1453098.125000 3:1836072.250000 4:1452880.375000 5:1788203.250000 6:2258141.250000 7:1994527.500000 
1 0:743703.875000 1:1060897.875000 2:1637250.500000 3:2069741.500000 4:1643220.750000 5:2020520.625000 6:2550474.500000 7:2258965.250000 1 0:630626.312500 1:896824.500000 2:1386007.250000 3:1751035.375000 4:1385383.500000 5:1706996.375000 6:2155761.500000 7:1903129.375000 1 0:662691.562500 1:944584.437500 2:1458215.125000 3:1843122.500000 4:1461934.125000 5:1798466.250000 6:2270470.750000 7:2009262.125000 
0 0:101130.890625 1:153178.046875 2:235735.546875 3:301690.812500 4:260361.515625 5:317211.875000 6:397437.625000 7:374233.625000 0 0:191289.671875 1:272245.843750 2:420329.937500 3:531130.187500 4:420306.531250 5:517228.000000 6:653151.562500 7:576978.375000 0 0:0.000000 1:0.000000 2:0.000000 3:0.000000 4:0.000000 5:0.000000 6:0.000000 7:0.000000 
0 0:101130.890625 1:153178.046875 2:235735.546875 3:301690.812500 4:260361.515625 5:317211.875000 6:397437.625000 7:374233.625000 0 0:191289.671875 1:272245.843750 2:420329.937500 3:531130.187500 4:420306.531250 5:517228.000000 6:653151.562500 7:576978.375000 0 0:0.000000 1:0.000000 2:0.000000 3:0.000000 4:0.000000 5:0.000000 6:0.000000 7:0.000000 
0 0:101130.890625 1:153178.046875 2:235735.546875 3:301690.812500 4:260361.515625 5:317211.875000 6:397437.625000 7:374233.625000 0 0:191289.671875 1:272245.843750 2:420329.937500 3:531130.187500 4:420306.531250 5:517228.000000 6:653151.562500 7:576978.375000 0 0:0.000000 1:0.000000 2:0.000000 3:0.000000 4:0.000000 5:0.000000 6:0.000000 7:0.000000 
0 0:101130.890625 1:153178.046875 2:235735.546875 3:301690.812500 4:260361.515625 5:317211.875000 6:397437.625000 7:374233.625000 0 0:191289.671875 1:272245.843750 2:420329.937500 3:531130.187500 4:420306.531250 5:517228.000000 6:653151.562500 7:576978.375000 0 0:0.000000 1:0.000000 2:0.000000 3:0.000000 4:0.000000 5:0.000000 6:0.000000 7:0.000000 
0 0:101130.890625 1:153178.046875 2:235735.546875 3:301690.812500 4:260361.515625 5:317211.875000 6:397437.625000 7:374233.625000 0 0:191289.671875 1:272245.843750 2:420329.937500 3:531130.187500 4:420306.531250 5:517228.000000 6:653151.562500 7:576978.375000 0 0:0.000000 1:0.000000 2:0.000000 3:0.000000 4:0.000000 5:0.000000 6:0.000000 7:0.000000 
0 0:101130.890625 1:153178.046875 2:235735.546875 3:301690.812500 4:260361.515625 5:317211.875000 6:397437.625000 7:374233.625000 0 0:191289.671875 1:272245.843750 2:420329.937500 3:531130.187500 4:420306.531250 5:517228.000000 6:653151.562500 7:576978.375000 0 0:0.000000 1:0.000000 2:0.000000 3:0.000000 4:0.000000 5:0.000000 6:0.000000 7:0.000000 
0 0:101130.890625 1:153178.046875 2:235735.546875 3:301690.812500 4:260361.515625 5:317211.875000 6:397437.625000 7:374233.625000 0 0:191289.671875 1:272245.843750 2:420329.937500 3:531130.187500 4:420306.531250 5:517228.000000 6:653151.562500 7:576978.375000 0 0:0.000000 1:0.000000 2:0.000000 3:0.000000 4:0.000000 5:0.000000 6:0.000000 7:0.000000 
0 0:101130.890625 1:153178.046875 2:235735.546875 3:301690.812500 4:260361.515625 5:317211.875000 6:397437.625000 7:374233.625000 0 0:191289.671875 1:272245.843750 2:420329.937500 3:531130.187500 4:420306.531250 5:517228.000000 6:653151.562500 7:576978.375000 0 0:0.000000 1:0.000000 2:0.000000 3:0.000000 4:0.000000 5:0.000000 6:0.000000 7:0.000000 
0 0:101130.890625 1:153178.046875 2:235735.546875 3:301690.812500 4:260361.515625 5:317211.875000 6:397437.625000 7:374233.625000 0 0:191289.671875 1:272245.843750 2:420329.937500 3:531130.187500 4:420306.531250 5:517228.000000 6:653151.562500 7:576978.375000 0 0:0.000000 1:0.000000 2:0.000000 3:0.000000 4:0.000000 5:0.000000 6:0.000000 7:0.000000 
0 0:101130.890625 1:153178.046875 2:235735.546875 3:301690.812500 4:260361.515625 5:317211.875000 6:397437.625000 7:374233.625000 0 0:191289.671875 1:272245.843750 2:420329.937500 3:531130.187500 4:420306.531250 5:517228.000000 6:653151.562500 7:576978.375000 0 0:0.000000 1:0.000000 2:0.000000 3:0.000000 4:0.000000 5:0.000000 6:0.000000 7:0.000000 
0 0:101130.890625 1:153178.046875 2:235735.546875 3:301690.812500 4:260361.515625 5:317211.875000 6:397437.625000 7:374233.625000 0 0:191289.671875 1:272245.843750 2:420329.937500 3:531130.187500 4:420306.531250 5:517228.000000 6:653151.562500 7:576978.375000 0 0:0.000000 1:0.000000 2:0.000000 3:0.000000 4:0.000000 5:0.000000 6:0.000000 7:0.000000 
